user id,product id,Interaction type,Time stamp,Customer ID,Age,Gender,Item Purchased,Category_x,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Uniqe Id,Product Name,Category_y,Selling Price,Shipping Weight,Is Amazon Seller,Order date
1,4c69b61db1fc16e7013b43fc926e502d,purchase,2023-10-10 08:00:00,1,55.0,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14.0,Venmo,Fortnightly,4c69b61db1fc16e7013b43fc926e502d,"DB Longboards CoreFlex Crossbow 41"" Bamboo Fiberglass Longboard Complete","Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Skateboarding | Standard Skateboards & Longboards | Longboards",$237.68,10.7 pounds,Y,2023-10-10
2,66d49bbed043f5be260fa9f7fbff5957,view,2023-10-11 08:00:00,2,19.0,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2.0,Cash,Fortnightly,66d49bbed043f5be260fa9f7fbff5957,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",Toys & Games | Learning & Education | Science Kits & Toys,$99.95,4 pounds,Y,2023-10-11
3,2c55cae269aebf53838484b0d7dd931a,like,2023-10-12 08:00:00,3,50.0,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23.0,Credit Card,Weekly,2c55cae269aebf53838484b0d7dd931a,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",Toys & Games | Arts & Crafts | Craft Kits,$34.99,12.8 ounces,Y,2023-10-12
4,18018b6bc416dab347b1b7db79994afa,view,2023-10-13 08:00:00,4,21.0,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49.0,PayPal,Weekly,18018b6bc416dab347b1b7db79994afa,Guillow Airplane Design Studio with Travel Case Building Kit,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Airplane & Jet Kits,$28.91,13.4 ounces,Y,2023-10-13
5,e04b990e95bf73bbe6a3fa09785d7cd0,like,2023-10-14 08:00:00,5,45.0,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31.0,PayPal,Annually,e04b990e95bf73bbe6a3fa09785d7cd0,Woodstock- Collage 500 pc Puzzle,Toys & Games | Puzzles | Jigsaw Puzzles,$17.49,13.4 ounces,Y,2023-10-14
6,f8c32a45e507a177992973cf0d46d20c,like,2023-10-15 08:00:00,6,46.0,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14.0,Venmo,Weekly,f8c32a45e507a177992973cf0d46d20c,"Terra by Battat – 4 Dinosaur Toys, Medium – Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)",,$18.66,1.4 pounds,Y,2023-10-15
7,40d3cd16b41970ae6872e914aecf2c8e,purchase,2023-10-16 08:00:00,7,63.0,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49.0,Cash,Quarterly,40d3cd16b41970ae6872e914aecf2c8e,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small","Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",$29.12,9.8 ounces,Y,2023-10-16
8,bc178f33a04dbccefa95b165f8b56830,view,2023-10-17 08:00:00,8,27.0,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19.0,Credit Card,Weekly,bc178f33a04dbccefa95b165f8b56830,"Hoffmaster 120813 Double-Tipped Triangular Crayon, 88 mm Length, Wrapped (500 Packs of 2)",Toys & Games | Arts & Crafts | Drawing & Painting Supplies | Crayons,$97.68,,Y,2023-10-17
9,cc2083338a16c3fe2f7895289d2e98fe,like,2023-10-18 08:00:00,9,26.0,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8.0,Venmo,Annually,cc2083338a16c3fe2f7895289d2e98fe,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",Home & Kitchen | Home Décor | Window Treatments | Window Stickers & Films | Window Films,$12.99,12.2 ounces,Y,2023-10-18
10,69828c5570dcdbd1609216d33fbad0db,purchase,2023-10-19 08:00:00,10,57.0,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4.0,Cash,Quarterly,69828c5570dcdbd1609216d33fbad0db,Pokemon TCG: Sun and Moon Crimson Invasion Elite Trainer Box,,$38.49,1.5 pounds,Y,2023-10-19
11,7b0746d8afc8462ba17f8a763d9d5f1e,purchase,2023-10-20 08:00:00,11,53.0,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26.0,Bank Transfer,Bi-Weekly,7b0746d8afc8462ba17f8a763d9d5f1e,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",Toys & Games | Baby & Toddler Toys,$18.16,3.2 ounces,Y,2023-10-20
12,c5f4c94653a3befd8dd16adf2914c04e,view,2023-10-21 08:00:00,12,30.0,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10.0,Bank Transfer,Fortnightly,c5f4c94653a3befd8dd16adf2914c04e,DC Cover Girls: Black Canary by Joëlle Jones Statue,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",$84.61,2.1 pounds,Y,2023-10-21
13,615ba903c134f439eaf8cdd1678ceb5c,like,2023-10-22 08:00:00,13,61.0,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37.0,Venmo,Fortnightly,615ba903c134f439eaf8cdd1678ceb5c,"Baby Doll Bedding Chevron Window Valance and Curtain Set, Orange",Baby Products | Nursery | Décor | Window Treatments | Valances,$33.92,,Y,2023-10-22
14,82c86a4d24dce5e14303033d7b658b78,view,2023-10-23 08:00:00,14,65.0,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31.0,PayPal,Weekly,82c86a4d24dce5e14303033d7b658b78,"LEGO Minecraft Creeper BigFig and Ocelot Characters 21156 Buildable Toy Minecraft Figure Gift Set for Play and Decoration, New 2020 (184 Pieces)",Toys & Games | Building Toys | Building Sets,$14.99,5.6 ounces,Y,2023-10-23
15,1ecccb43e0f5c0162218371916ffa553,like,2023-10-24 08:00:00,15,64.0,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly,1ecccb43e0f5c0162218371916ffa553,C&D Visionary DC Comic Originals Flash Logo Sticker,Toys & Games | Arts & Crafts | Craft Kits,$4.99,0.16 ounces,Y,2023-10-24
